batch_num_prefill_tokens,batch_num_decode_tokens,batch_size,Batch Id,batch_num_tokens,batch_execution_time,inter_batch_delay,per_token_time,linear,attention
0,4,4,20.0,4.0,68.12209542840715,7.351301610469818e-05,17.030523857101787,25.50041586626321,2.9952000081539154
1021,3,4,17.0,1024.0,217.6498775370419,0.00040040491148825,0.21254870853226748,158.9964799284935,3.9936000108718868
1024,0,1,3.0,1024.0,217.2359591349959,6.870832294225693e-05,0.21214449134276944,160.9267194569111,13.67039993405342
