prefill_length,chunk_size,prefill_execution_time,prefill_execution_time_relative
2047,512,435.6786895543335,1.152179444326152
2047,1024,444.16782539337873,1.174629493062402
2047,2048,377.7101621031761,0.9988780611086228
2047,16384,378.13440579921007,1.0
4095,512,921.9583958387371,1.1889427456953752
4095,1024,932.2625610977409,1.2022308317851966
4095,2048,793.903593160212,1.023805328016589
4095,16384,775.4438968375325,1.0
8191,512,1958.530533500015,1.1165034734755017
8191,1024,1946.2371833622456,1.109495378429395
8191,2048,1643.3718785643578,0.9368403398593488
8191,16384,1754.1642995551229,1.0
16383,512,4512.830304540692,0.9951110776273387
16383,1024,4357.553739473224,0.960871494136001
16383,2048,3651.589503698051,0.8052013749379132
16383,16384,4535.00157520175,1.0
