,batch_num_tokens,batch_num_decode_tokens,batch_num_prefill_tokens,operation,Batch Id,batch_size,batch_execution_time,inter_batch_delay,operation_time_per_token
0,1,1,0,batch_execution_time,4.0,1.0,0.04680326674133536,5.2352125446001686e-05,46.80326674133536
1,2,2,0,batch_execution_time,5.5,2.0,0.04750242146352921,6.832492848237141e-05,23.751210731764605
2,4,4,0,batch_execution_time,8.5,4.0,0.04884505489220215,6.53779134154157e-05,12.211263723050537
3,8,8,0,batch_execution_time,14.5,8.0,0.06967552363251643,9.475477660694217e-05,8.709440454064554
4,16,16,0,batch_execution_time,26.5,16.0,0.0772536892133454,0.00016380008310075422,4.828355575834087
5,32,32,0,batch_execution_time,50.5,32.0,0.08789650211110707,0.00031408512343961386,2.746765690972096
6,64,64,0,batch_execution_time,98.5,64.0,0.1278068584700425,0.0004524422499040455,1.9969821635944143
7,128,128,0,batch_execution_time,194.5,128.0,0.18933050256843362,0.0006753484097619498,1.4791445513158876
