,batch_num_tokens,batch_num_decode_tokens,batch_num_prefill_tokens,operation,Batch Id,batch_size,batch_execution_time,inter_batch_delay,operation_time_per_token
0,128,0,128,batch_execution_time,2.0,1.0,0.0480940844863653,0.0004499442875385,0.3757350350497289
1,256,0,256,batch_execution_time,0.0,1.0,0.1213533570989966,,0.47403655116795546
2,512,0,512,batch_execution_time,4.0,1.0,0.1055817436426878,0.0004980275407433,0.2062143430521246
3,1024,0,1024,batch_execution_time,6.0,1.0,0.2143006371334195,0.0002897251397371,0.209277965950605
4,2048,0,2048,batch_execution_time,5.0,1.0,0.3660252727568149,0.0003585144877433,0.17872327771328853
5,4096,0,4096,batch_execution_time,1.0,1.0,0.7576026394963264,0.0005732979625463,0.18496158190828282
6,8192,0,8192,batch_execution_time,7.0,1.0,1.863264944404364,0.0002434877678751,0.22744933403373585
7,16384,0,16384,batch_execution_time,3.0,1.0,4.407501052133739,0.000113314948976,0.26901251538902216
